"","Date","ValueARG","ValueGRB","ValueUSA"
"1",1990-12-31,0,0.087355319281159,0.78472850220279
"2",1992-12-31,0.0029928741462303,0.26061515949735,1.7242025390836
"3",1993-12-31,0.029527065290513,0.51976200097975,2.2716732937624
"4",1994-12-31,0.043705951139252,1.0366091657259,4.862780634624
"5",1995-12-31,0.086277080973715,1.895168283966,9.2370882972938
"6",1996-12-31,0.14195470435477,4.1236503356883,16.419352960077
"7",1997-12-31,0.28033988183001,7.3853989565956,21.616400968674
"8",1998-12-31,0.83076667967647,13.669983095699,30.093196588091
"9",1999-12-31,3.2844819559046,21.293638266637,35.848724455991
"10",2000-12-31,7.0386830862178,26.821754350858,43.07916263752
"11",2001-12-31,9.7808072853241,33.481094874415,49.080831589695
"12",2002-12-31,10.882124377533,56.48,58.785403883695
"13",2003-12-31,11.913696550995,64.82,61.697117124421
"14",2004-12-31,16.036684105492,65.61,64.75825647599
"15",2005-12-31,17.720583369607,70,67.968052915002
"16",2006-12-31,20.92720210359,68.82,68.931193269972
"17",2007-12-31,25.946632940382,75.09,75
"18",2008-12-31,28.112623479991,78.39,74
"19",2009-12-31,34,83.56,71
"20",2010-12-31,45,85,74
"21",2011-12-31,51,85.379998549632,77.863021
"22",2012-12-31,55.8,87.479998424211,81.0252
